PlayerName,prog_1,prog_2,prog_3,prog_4,prog_5,prog_6,prog_7,prog_8,prog_9,prog_10,prog_11,prog_12,prog_13,prog_14,prog_15,prog_16,prog_17,prog_18,prog_19,prog_20,prog_21,prog_22,prog_23,prog_24,prog_25,prog_26,prog_27,prog_28,prog_29,prog_30,prog_31,prog_32,prog_33,prog_34,prog_35,prog_36,prog_37,prog_38,prog_39,prog_40,prog_41,prog_42,prog_43,prog_44,prog_45,prog_46,prog_47,prog_48,prog_49,prog_50,prog_51,prog_52,prog_53,prog_54
Kraft Robert (Bob),4.7567,4.7074,4.6583,4.6269,4.666,4.666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toomey David (Moon),4.4802,4.4569,4.4842,4.4444,4.4612,4.4126,4.3958,4.3649,4.3426,4.3232,4.3456,4.3279,4.3478,4.3315,4.3494,4.3772,4.3807,4.4064,4.409,4.4274,4.43,4.4766,4.5214,4.5547,4.5868,4.5661,4.5945,,,,,,,,,,,,,,,,,,,,,,,,,,,
Danielson Robert,4.3085,4.3537,4.3388,4.2981,4.2871,4.3303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roybal Robert,4.0984,4.06,4.0296,4.0608,4.0544,4.0791,4.0726,4.0928,4.0863,4.0606,4.1097,4.1328,4.1661,4.1941,4.2161,4.1869,4.1446,4.1875,4.138,4.1026,4.1331,4.1015,4.0888,4.0661,4.0559,4.0384,4.0473,4.0265,4.0578,4.0789,4.0513,4.0278,4.0677,4.0659,4.0472,4.0456,4.0298,4.0283,4.0147,3.9981,3.9836,4.0001,3.9879,3.9679,3.9587,,,,,,,,,
Put Ron,4.2326,4.2718,4.2408,4.1981,4.2121,4.1659,4.1795,4.1438,4.1568,4.1184,4.09,4.0633,4.0402,4.0205,4.0003,4.0295,4.0587,4.0158,3.9835,4.0189,4.0578,4.0264,4.0068,3.9837,4.0062,3.9857,4.008,3.9674,3.9451,3.9164,3.9008,3.8792,3.8674,3.8607,3.8742,3.8676,3.8835,3.8769,3.8929,3.9328,3.9313,3.9029,3.9016,3.9399,3.9384,3.8909,3.9368,3.9833,4.0127,3.9728,4.0023,,,
Aparo Salvatore (Sal),4.2009,4.1523,4.1448,4.1092,4.1036,4.0774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White Douglas,4.1584,4.2033,4.2205,4.1778,4.1633,4.2094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Powell Jason,4.6638,4.6141,4.5703,4.5367,4.4997,4.5234,4.54,4.5182,4.5365,4.5172,4.5322,4.5495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Speckman William,4.5924,4.6391,4.6028,4.6455,4.6705,4.7167,4.7332,4.7689,4.7809,4.769,4.8017,4.7915,4.7671,4.7814,4.7513,4.7796,4.7387,4.7079,4.7366,4.6971,4.6671,4.6781,4.6595,4.6491,4.6316,4.6433,4.6295,4.671,4.6591,4.7076,4.6971,4.6543,4.6682,4.689,4.6755,4.6544,4.6385,4.662,4.646,4.6521,4.613,4.605,4.5701,4.5617,4.5384,4.5253,4.5489,4.5361,4.5081,4.4977,4.4744,,,
Ostrander Vickie,4.0891,4.0603,4.088,4.0633,4.0908,4.0908,4.0431,4.0121,3.9764,3.9524,3.9773,3.9568,3.978,4.018,4.0326,4.0796,4.0681,4.1073,4.1543,4.111,4.1591,4.1128,4.0676,4.1029,4.1436,4.1928,4.1496,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiravolo Anthony (Tony),4.5231,4.4943,4.522,4.4973,4.5248,4.5248,4.546,4.586,4.6006,4.6476,4.6361,4.6753,4.632,4.6079,4.566,4.5361,4.5039,4.4674,4.5144,4.4711,4.5192,4.4729,4.4277,4.463,4.5037,4.5529,4.5097,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tortorice Diane,4.3673,4.3758,4.3517,4.3435,4.3711,4.3624,4.3526,4.4012,4.4137,4.4493,4.4681,4.4943,4.5109,4.465,4.4485,4.4191,4.4391,4.4096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Psaris Thomas (Tom),4.1318,4.1032,4.1334,4.1087,4.0789,4.0612,4.0322,4.0062,3.9863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Birchall Anthony (Tony),3.9119,3.882,3.8922,3.9315,3.9172,3.8798,3.8915,3.8845,3.8967,3.8903,3.8903,3.8846,3.9318,3.9735,4.0055,4.0534,4.0317,4.0688,4.1094,4.1209,4.1496,4.1587,4.1803,4.1878,4.2186,4.2577,4.2109,4.2458,4.2909,4.3142,4.3196,4.2929,4.2986,4.276,4.282,4.2625,,,,,,,,,,,,,,,,,,
Senyitko Tom,4.817,4.843,4.8629,4.8374,4.8436,4.8155,4.8221,4.7906,4.7978,4.833,4.7914,4.8352,4.8838,4.9208,4.8849,4.8547,4.9012,4.9333,4.9778,5.0006,4.9726,4.9857,4.9888,5.0016,4.9988,5.0092,5.0119,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin Tony,4.117,4.0983,4.082,4.0508,4.0368,4.0121,3.9985,3.9783,3.9653,3.9956,4.0255,4.0666,4.0273,4.0742,4.1116,4.1046,4.0822,4.0772,4.0573,4.0523,4.0344,4.0234,4.0136,4.024,4.0155,4.0038,3.9969,3.9986,3.989,3.9875,3.9767,3.9782,3.9699,4.009,3.9777,4.0223,4.0499,4.0918,4.0519,4.012,3.9778,4.0062,4.0456,4.0073,4.0432,4.0378,4.0347,4.029,4.0318,4.0258,4.0231,,,
Babbe Victoria (Vicki),4.1648,4.1185,4.0796,4.0449,3.9977,3.9777,3.928,3.9062,3.8687,3.8554,3.8261,3.8139,3.8009,3.8054,3.8155,3.8098,3.8219,3.8283,3.8062,3.8015,3.7825,3.7779,3.7613,3.7568,3.7556,3.7494,3.7482,3.7416,3.7428,3.7356,,,,,,,,,,,,,,,,,,,,,,,,
